15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1: SQL columns parsed: 22
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1: COBOL host fields parsed: 22
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1: merged DCLGEN columns: 22
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 1 parsed columns: 22
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2 input length: 7344
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2: resolved table name: DZBFARTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2: DECLARE section 1 parsed SQL columns: 51
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2: COBOL host field scan found 51 field(s).
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2: SQL columns parsed: 51
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2: COBOL host fields parsed: 51
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2: merged DCLGEN columns: 51
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 2 parsed columns: 51
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3 input length: 2019
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3: resolved table name: DZ01RSTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3: DECLARE section 1 parsed SQL columns: 6
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3: COBOL host field scan found 5 field(s).
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3: SQL columns parsed: 6
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3: COBOL host fields parsed: 5
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3: merged DCLGEN columns: 6
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 3 parsed columns: 6
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4 input length: 3035
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4: resolved table name: DZEVEFTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4: DECLARE section 1 parsed SQL columns: 16
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4: COBOL host field scan found 16 field(s).
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4: SQL columns parsed: 16
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4: COBOL host fields parsed: 16
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4: merged DCLGEN columns: 16
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN file 4 parsed columns: 16
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN total parsed columns: 95
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Copybook file count: 1
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Copybook 1: C:\S\S-Input\Copybook\Copybook.txt
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Copybook 1 text length: 115952
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Copybook total fields: 554
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Copybook files: logical copybook lines parsed: 749
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Copybook files: copybook fields parsed: 554 (data fields: 554, 88-condition names: 0, FILLER skipped: 190)
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | IDMS COBOL source file: C:\S\S-Input\Program\Update\Update.txt
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | IDMS COBOL source text length: 14764
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Derived target PROGRAM-ID: VMDZ1567
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | START UPDATE PROGRAM POST-PROCESS ENHANCEMENT
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved PROGRAM-ID: VMDZ1567
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved input file: OPERATIES
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved FD record: OPERATIES-REC
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved record length: 1200
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved READ target: VMBD205I
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved copybook record candidates: 1
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Derived input record/copybook name via VM...BD...->VMDZ rule: VMDZ205I (COPY VMDZ205I).
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved copybook include: VMDZ205I
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved copybook 01 record: VMDZ205I
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved copybook length: 610
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved legacy EOF switch: SW-EOF
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart table: DZ01RSTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart include: DZ01RSTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart host record: DCLDZ01RSTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart program column: NM_ID_RS_PROGRAM
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart program field: NM-ID-RS-PROGRAM
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart phase field: NB-ID-RS-PHASE
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart date field: DA-CR-RS
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart status field: CO-ID-RS
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart retention field: NB-DAY-RS
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart payload column: TE_CH_RS_DATA
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart payload group: TE-CH-RS-DATA
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart payload length field: TE-CH-RS-DATA-LEN
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Resolved restart payload text field: TE-CH-RS-DATA-TEXT
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Normalized PROGRAM-NAME move to resolved PROGRAM-ID.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected COBOL-standard update restart working-storage.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected manual-style date working-storage.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | DCLGEN include already exists: DZ01RSTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected referenced DCLGEN include.: DZ01RSTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected referenced DCLGEN include.: DZBFARTV
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected input copybook include.: VMDZ205I
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Added standard update main initialization.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Added standard update summary DISPLAY statements.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Replaced legacy active restart main flow with standard update restart flow.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Inserted READ-FLAT-FILE at end of processing paragraph: VERWERKING.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Replaced READ-FLAT-FILE with copybook-standard implementation.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected standard restart-table paragraphs.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Extracted inline business UPDATE SQL into standard update paragraph.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Removed legacy update restart working-storage declarations.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Injected standard SQLERROR paragraph.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | END UPDATE PROGRAM POST-PROCESS ENHANCEMENT
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Update postprocess enhancement completed.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Update audit moves: inserted TS_UPDATE / USER-ID host moves before UPDATE SQL.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Update CHAR literal: quoted numeric literal moved to CHAR host variable.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Update date host: converted raw move into DB2 DATE host to DD.MM.CCYY realignment form.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Renamed input record references VMBD205I -> VMDZ205I and removed duplicate COPY.
15-09-2026 15:26:09 | INFO | idms_db2_update_conversion | Procedure indent: normalized 143 statement line(s) to Area B.
